Length,NormalizedCount,NormalizedFrequency
1,0.013592189022042001,2.844232624296408
2,0.459869061912421,17.11216496031395
3,3.989307477969327,18.87488010770781
4,8.010330063656752,14.799638278993053
5,10.599642072355753,9.977334731219296
6,14.0452619894434,8.576676444907068
7,15.16208685408785,8.600973964770855
8,14.090569286183541,6.934575676088108
9,11.99737217678907,4.788730347419117
10,8.859841877534377,3.3789612544628147
11,5.704188659583626,2.1199234960925204
12,3.4456199170876474,1.0447994605816249
13,2.000317151077181,0.6107782186015925
14,0.8631040028996669,0.23431626846274126
15,0.489318804793512,0.07282538876489765
16,0.156310173753483,0.016994219095481315
17,0.083818498969259,0.008652823736362567
18,0.029449742881091003,0.00354173448630225
