DATE,ROSS,MARY,SUSAN,JESSICA,OLIVIA,JOHN,DAVID,MICHAEL,ETHAN,TOTAL,ROSS_PCT,MARY_PCT,SUSAN_PCT,JESSICA_PCT,OLIVIA_PCT,JOHN_PCT,DAVID_PCT,MICHAEL_PCT,ETHAN_PCT,TOTAL_PCT
1915,9.0,269.0,5.0,0.0,0.0,419.0,64.0,15.0,0.0,8470,0.10625737898465172,3.1759149940968125,0.05903187721369539,0.0,0.0,4.9468713105076745,0.755608028335301,0.1770956316410862,0.0,
1916,0.0,242.0,0.0,0.0,0.0,396.0,75.0,12.0,0.0,7369,0.0,3.2840276835391506,0.0,0.0,0.0,5.373863482154974,1.0177771746505633,0.1628443479440901,0.0,
1917,0.0,200.0,0.0,0.0,0.0,325.0,67.0,10.0,0.0,6887,0.0,2.9040220705677364,0.0,0.0,0.0,4.719035864672572,0.9728473936401918,0.1452011035283868,0.0,
1918,5.0,218.0,7.0,0.0,0.0,318.0,51.0,13.0,0.0,6828,0.07322788517867604,3.192735793790275,0.10251903925014645,0.0,0.0,4.657293497363796,0.7469244288224955,0.1903925014645577,0.0,
1919,8.0,229.0,8.0,0.0,0.0,354.0,89.0,9.0,0.0,7170,0.11157601115760112,3.1938633193863324,0.11157601115760112,0.0,0.0,4.937238493723849,1.2412831241283124,0.12552301255230125,0.0,
1920,7.0,266.0,5.0,0.0,0.0,473.0,89.0,17.0,0.0,9707,0.07211290821056969,2.7402905120016485,0.051509220150406924,0.0,0.0,4.872772226228495,0.9168641186772433,0.17513134851138354,0.0,
1921,6.0,274.0,6.0,0.0,0.0,464.0,111.0,12.0,0.0,9693,0.06190034045187248,2.8267822139688437,0.06190034045187248,0.0,0.0,4.786959661611472,1.1451562983596408,0.12380068090374496,0.0,
1922,6.0,297.0,6.0,0.0,0.0,392.0,98.0,9.0,0.0,8824,0.06799637352674524,3.3658204895738897,0.06799637352674524,0.0,0.0,4.4424297370806896,1.1106074342701724,0.10199456029011786,0.0,
1923,0.0,276.0,0.0,0.0,0.0,383.0,97.0,17.0,0.0,8526,0.0,3.2371569317382125,0.0,0.0,0.0,4.492141684259911,1.1376964578935023,0.19939010086793338,0.0,
1924,10.0,262.0,0.0,0.0,0.0,356.0,80.0,16.0,0.0,8442,0.11845534233593934,3.103529969201611,0.0,0.0,0.0,4.217010187159441,0.9476427386875147,0.18952854773750297,0.0,
1925,0.0,227.0,6.0,0.0,0.0,377.0,98.0,12.0,0.0,8673,0.0,2.6173181136861525,0.06918021445866482,0.0,0.0,4.346823475152773,1.1299435028248588,0.13836042891732964,0.0,
1926,5.0,241.0,6.0,0.0,0.0,395.0,77.0,13.0,0.0,8339,0.0599592277251469,2.8900347763520804,0.07195107327017627,0.0,0.0,4.736778990286606,0.9233721069672622,0.15589399208538196,0.0,
1927,0.0,237.0,5.0,0.0,0.0,344.0,90.0,16.0,0.0,8293,0.0,2.857831906427107,0.0602918123718799,0.0,0.0,4.148076691185337,1.0852526226938382,0.19293379959001566,0.0,
1928,7.0,247.0,7.0,0.0,0.0,338.0,111.0,25.0,0.0,8642,0.08099976857208979,2.85813469104374,0.08099976857208979,0.0,0.0,3.9111316824809075,1.2844249016431382,0.2892848877574635,0.0,
1929,0.0,224.0,10.0,0.0,0.0,324.0,115.0,14.0,0.0,8707,0.0,2.5726427012748365,0.11485012059262661,0.0,0.0,3.7211439072011028,1.320776386815206,0.16079016882967728,0.0,
1930,11.0,248.0,8.0,0.0,0.0,370.0,110.0,33.0,0.0,9041,0.12166795708439332,2.743059396084504,0.08848578697046787,0.0,0.0,4.092467647384139,1.2166795708439333,0.36500387125317996,0.0,
1931,0.0,192.0,0.0,0.0,0.0,332.0,123.0,15.0,0.0,8355,0.0,2.2980251346499103,0.0,0.0,0.0,3.9736684619988036,1.4721723518850987,0.17953321364452424,0.0,
1932,0.0,201.0,5.0,0.0,0.0,345.0,116.0,18.0,0.0,8118,0.0,2.475979305247598,0.06159152500615915,0.0,0.0,4.249815225424982,1.4289233801428924,0.22172949002217296,0.0,
1933,5.0,188.0,6.0,0.0,0.0,303.0,102.0,22.0,0.0,7592,0.06585879873551106,2.476290832455216,0.07903055848261328,0.0,0.0,3.9910432033719703,1.3435194942044257,0.2897787144362487,0.0,
1934,6.0,186.0,0.0,0.0,0.0,281.0,113.0,29.0,0.0,7827,0.07665772326561901,2.3763894212341894,0.0,0.0,0.0,3.5901367062731575,1.4437204548358247,0.37051232911715853,0.0,
1935,0.0,158.0,9.0,0.0,0.0,283.0,136.0,34.0,0.0,8115,0.0,1.9470117067159582,0.11090573012939,0.0,0.0,3.487369069624153,1.6759088108441158,0.41897720271102895,0.0,
1936,0.0,162.0,7.0,0.0,0.0,295.0,138.0,36.0,0.0,8579,0.0,1.8883319734234758,0.08159459144422428,0.0,0.0,3.438629210863737,1.6085790884718498,0.4196293274274391,0.0,
1937,11.0,173.0,11.0,0.0,0.0,327.0,187.0,56.0,0.0,9104,0.12082601054481545,1.9002636203866434,0.12082601054481545,0.0,0.0,3.5918277680140593,2.054042179261863,0.6151142355008787,0.0,
1938,11.0,188.0,14.0,0.0,0.0,330.0,213.0,45.0,0.0,10044,0.10951812027080844,1.8717642373556351,0.13938669852648347,0.0,0.0,3.2855436081242537,2.120669056152927,0.4480286738351254,0.0,
1939,9.0,153.0,17.0,0.0,0.0,364.0,203.0,78.0,0.0,10096,0.08914421553090333,1.5154516640253566,0.16838351822503964,0.0,0.0,3.6053882725832014,2.0106973058637085,0.7725832012678289,0.0,
1940,14.0,187.0,29.0,0.0,0.0,416.0,244.0,102.0,0.0,11886,0.11778563015312131,1.5732794884738346,0.24398451960289416,0.0,0.0,3.499915867407034,2.0528352683829714,0.8581524482584554,0.0,
1941,15.0,193.0,36.0,0.0,0.0,400.0,287.0,108.0,0.0,12942,0.11590171534538712,1.4912687374439808,0.27816411682892905,0.0,0.0,3.090712409210323,2.2175861536084067,0.8344923504867872,0.0,
1942,14.0,185.0,50.0,0.0,0.0,464.0,355.0,113.0,0.0,14686,0.09532888465204957,1.2597031186163694,0.34046030232874847,0.0,0.0,3.1594716056107854,2.417268146534114,0.7694402832629715,0.0,
1943,12.0,226.0,69.0,0.0,0.0,507.0,384.0,127.0,0.0,16424,0.07306380905991232,1.3760350706283488,0.42011690209449587,0.0,0.0,3.0869459327812954,2.338041889917194,0.7732586458840721,0.0,
1944,20.0,230.0,94.0,0.0,0.0,512.0,394.0,143.0,0.0,16518,0.1210800339024095,1.3924203898777092,0.5690761593413246,0.0,0.0,3.099648867901683,2.385276667877467,0.8657222424022278,0.0,
1945,17.0,224.0,87.0,0.0,0.0,477.0,373.0,170.0,0.0,16511,0.1029616619223548,1.3566713100357337,0.5269214463085216,0.0,0.0,2.888983102174308,2.2590999939434315,1.029616619223548,0.0,
1946,26.0,266.0,197.0,0.0,0.0,580.0,437.0,194.0,0.0,19617,0.13253810470510272,1.3559667635214354,1.0042310241117398,0.0,0.0,2.9566192588061377,2.227659682928073,0.9889381658765357,0.0,
1947,32.0,271.0,241.0,0.0,0.0,687.0,588.0,247.0,0.0,23499,0.1361760074896804,1.153240563428231,1.0255755564066555,0.0,0.0,2.9235286607940765,2.5022341376228776,1.0511085578109707,0.0,
