DATE,MARY_M,JESSICA_M,OLIVIA_M,JOHN_M,MICHAEL_M,ETHAN_M,LESLIE_M,TAYLOR_M,QUINN_M,CHRISTINE_M,CHRIS_M,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_M,CHRISTY_M,CHRISTIE_M,CHRISTINA_M,KRISTY_M,KRISTINE_M,KRISTOPHER_M,CHRISTIANA_M,KRISTINA_M,KRIS_M,MARY_F,JESSICA_F,OLIVIA_F,JOHN_F,MICHAEL_F,ETHAN_F,LESLIE_F,TAYLOR_F,QUINN_F,CHRISTINE_F,CHRIS_F,CHRISTOPHER_F,CHRISTIAN_F,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_F,CHRISTIANA_F,KRISTINA_F,KRIS_F
1945,0,0,0,477,170,0,35,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,24,0,0,18,0,0,0,0,0,0,10,0,0,0,0,0,0
1946,0,0,0,580,194,0,36,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,32,0,0,25,0,0,0,0,0,0,11,0,0,0,0,0,0
1947,0,0,0,687,247,0,53,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,51,0,0,40,0,0,0,0,0,0,15,0,0,0,0,0,0
1948,0,0,0,682,256,0,39,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,53,0,0,42,0,0,0,0,0,0,11,0,0,0,0,0,0
1949,0,0,0,642,263,0,62,0,0,0,5,67,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,59,0,0,72,0,0,0,0,0,0,22,0,0,0,0,0,0
1950,0,0,0,621,268,0,74,0,0,0,5,74,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,58,0,0,68,0,0,0,0,0,0,17,0,0,0,0,0,0
1951,0,0,0,664,335,0,59,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,48,0,0,94,0,0,0,0,0,0,19,0,6,0,0,0,0
1952,0,0,0,632,375,0,70,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,69,0,0,92,0,0,0,0,0,0,27,0,6,0,0,0,0
1953,0,0,0,605,460,0,58,0,0,0,6,126,5,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,93,0,0,86,0,0,0,0,0,0,25,0,12,0,0,0,0
1954,0,0,0,648,468,0,63,0,0,0,5,115,9,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,72,0,0,108,0,0,0,0,0,0,25,0,8,0,0,0,0
1955,0,0,0,576,475,0,57,0,0,0,5,123,6,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,97,0,0,108,0,0,0,0,0,0,29,0,0,0,0,0,0
1956,0,0,0,656,517,0,77,0,0,0,7,162,12,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,99,0,0,104,0,0,0,0,0,0,19,0,5,0,0,0,0
1957,0,0,0,653,564,0,60,0,0,0,12,152,5,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,108,0,0,113,0,0,0,0,0,0,26,0,11,0,0,8,0
1958,0,0,0,594,712,0,73,0,0,0,9,143,13,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,107,0,0,134,0,0,0,0,0,5,35,0,8,0,0,5,0
1959,0,0,0,641,662,0,60,0,0,0,15,186,13,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,98,0,0,121,0,0,0,5,0,0,32,5,13,0,0,0,0
