Length,Count,Proportion
261,153,0.0934699338379488
262,166,0.101411823641173
263,165,0.100800909040925
264,158,0.0965245068391889
265,156,0.0953026776386929
266,180,0.109964628044646
267,164,0.100189994440677
268,180,0.109964628044646
269,198,0.12096109084911
270,171,0.104466396642413
271,223,0.136233955855311
272,257,0.157005052263744
273,255,0.155783223063248
274,312,0.190605355277386
275,349,0.213209195486563
276,428,0.261471448906157
277,436,0.266358765708142
278,551,0.336613944736665
279,713,0.435582109976846
280,716,0.43741485377759
